类别,品名,规格,价格范围,平均价,涨跌,单位,日期
废旧锂电池,三元方壳锂电B品,20-30Ah,1.14 ~ 1.45,1.295,0.0,元/Ah,2026-06-26
废旧锂电池,三元方壳锂电B品,50-60Ah,1.2 ~ 1.48,1.34,0.0,元/Ah,2026-06-26
废旧锂电池,方形磷酸铁锂电池B品,280Ah,0.68 ~ 0.8,0.74,0.0,元/Ah,2026-06-26
废旧锂电池,33140圆柱锂电池,15Ah,0.7 ~ 0.77,0.735,0.0,元/Ah,2026-07-01
废旧锂电池,18650圆柱锂电池B品1300mah,1300mah,0.45 ~ 0.55,0.5,0.0,元/Ah,2026-07-01
废旧锂电池,18650圆柱锂电池B品1500-1800mah,1500-1800mah,0.42 ~ 0.49,0.455,0.0,元/Ah,2026-07-01
废旧锂电池,18650圆柱锂电池B品2000-2500mah,2000-2500mah,0.52 ~ 0.62,0.57,0.0,元/Ah,2026-07-01
废旧锂电池,18650圆柱锂电池B品2500-3000mah,2500-3000mah,0.7 ~ 0.79,0.745,0.0,元/Ah,2026-07-01
废旧锂电池,杂电,-,42000 ~ 62000,52000.0,500.0,元/吨,2026-01-09
废旧锂电池,品电,-,74000 ~ 78000,76000.0,500.0,元/吨,2026-01-09
废旧锂电池,聚合物,-,94000 ~ 99000,96500.0,2000.0,元/吨,2026-01-09
废旧锂电池,苹果条,-,103000 ~ 108000,105500.0,2000.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_方壳,方壳,12300 ~ 13300,12800.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_软包,软包,11600 ~ 12600,12100.0,0.0,元/吨,2026-01-09
废旧锂电池,磷酸铁锂电池_圆柱,圆柱,9900 ~ 10900,10400.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_方壳,方壳,35100 ~ 37600,36350.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_圆柱,圆柱,29000 ~ 31500,30250.0,0.0,元/吨,2026-01-09
废旧锂电池,三元材料电池_软包,-,36400 ~ 38900,37650.0,0.0,元/吨,2026-01-09
